category,description,title,brand,rank,price,productID
"['Books', 'Literature & Fiction', 'Literary']",[],Ten Little Niggers,Visit Amazon's Agatha Christie Page,"7,603,389 in Books (",$50.63,0002318350
"['Books', 'Mystery, Thriller & Suspense', 'Mystery']",['1998 HARDCOVER w/DUST JACKET'],An Advancement of Learning,Visit Amazon's Reginald Hill Page,"4,821,367 in Books (",$44.15,0002310090
"['Books', 'Literature & Fiction', 'Genre Fiction']",['000226157X'],Edge of Danger,Visit Amazon's Jack Higgins Page,"15,599,851 in Books (",$55.13,000226157X
"['Books', 'Literature & Fiction', 'World Literature']",[],Our Lady of the Lost and Found,Visit Amazon's Diane Schoemperlen Page,"15,521,792 in Books (",$63.58,0002255103
"['Books', 'Literature & Fiction', 'Genre Fiction']","[""FROM THE PRAISE FOR HELL AT THE BREECH:'Beautifully written and potent.' Daniel Woodrell, Washington Post 'A literary knockout. Franklin has cleverly woven history and fiction. Hell at the Breech is an impressive novel that should catapult Franklin into the big leagues.' USA Today'Such exquisite prose, such depth of character and depth of emotion that you feel swept up in a terrible beauty. Hell at the Breech bears comparison only with other great novels, and it ensures a place for Tom Franklin in the highest ranks of our country's new writers.' Dennis Lehane'The most extraordinary first novel to come out of the South since Charles Frazier's Cold Mountain ... hypnotically captivating.' Orlando Sentinel'Franklin evokes time and place with language of eloquence and fire, and his journey through the evils men do leads down the old dark ways of the heart.' William GayFROM THE PRAISE FOR POACHERS: 'I am amazed by Franklin's power. I'm reminded, by the evocative strength of the prose and the relentlessness of the imagination, of William Faulkner.' Philip Roth'It's as if the author kidnapped Raymond Carver's characters and set them loose in the Deep South.' New York Times Book Review'Marvellous ... Franklin writes beautifully with an unsparing, detached eye.' The Times"", 'Tom Franklin was born and raised in south Alabama. He is the author of the acclaimed collection of stories entitled Poachers, which was named as a Best First Book of Fiction by Esquire in 1999 and was also the winner of a 1999 Edgar Award for the title story. Recipient of a 2001 Guggenheim Fellowship, he has held the John and Renee Grisham Writer-in-Residency at Ole Miss and the Tennessee Williams Fellowship at Sewanee. He lives in Oxford, Mississippi, with his wife, the poet Beth Ann Fennelly, and their young daughter, Claire.']",Hell at the Breech,Visit Amazon's Tom Franklin Page,"6,665,762 in Books (",$30.61,0002261596
"['Books', 'Mystery, Thriller & Suspense', 'Mystery']",[],At Bertram's Hotel (Agatha Christie Collection),Visit Amazon's Agatha Christie Page,"7,101,351 in Books (",$6.55,0002310015
"['Books', 'Mystery, Thriller & Suspense', 'Mystery']","[""'First Class Christie' Sunday Telegraph 'Mesmerising ingenuity' Financial Times"", 'Agatha Christie was born in Torquay in 1890 and became, quite simply, the best-selling novelist in history. Her first novel, The Mysterious Affair at Styles, written towards the end of the First World War, introduced us to Hercule Poirot, who was to become the most popular detective in crime fiction since Sherlock Holmes. She is known throughout the world as the Queen of Crime. Her books have sold over a billion copies in the English language and another billion in over 100 foreign languages. She is the author of 80 crime novels and short story collections, 19 plays, and six novels under the name of Mary Westmacott.']",Third Girl (Agatha Christie Collection),Visit Amazon's Agatha Christie Page,"16,648,673 in Books (",$4.00,0002318075
"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']",[],The Sirens Sang of Murder,Visit Amazon's Sarah Caudwell Page,"5,953,861 in Books (",$7.98,0002322331
"['Books', 'Literature & Fiction', 'Literary']","[""'You yearned for a 'good violent murder with lots of blood'. So this is your special story - written for you' Agatha Christie""]",Hercule Poirot's Christmas (Agatha Christie Collection),Visit Amazon's Agatha Christie Page,"6,471,827 in Books (",$71.29,000231309X
"['Books', 'Lesbian, Gay, Bisexual & Transgender Books', 'Literature & Fiction']","[""'Few novels in a reader's year live in the mind as this one does. It's beautifully written, spare, with moments of poetry. Surely flesh has never been described with such a combination of pathology and beauty.' GILLIAN CLARKE"", ""Maria McCann was born in Liverpool in 1956 and spent most of her childhood there devouring novels at every opportunity. She read English at the University of Durham and then embarked on a series of jobs including Citizens' Advice, telephonist, artist's model and EFL teacher. Since 1988 she has been a Lecturer in English at a Somerset college. An Arvon course gave her the confidence to write after years of 'scribbling' and she later read for an MA in Writing at the University of Glamorgan. She loves plays, gin, dancing and dogs. This is her first novel.""]",As Meat Loves Salt,Visit Amazon's Maria McCann Page,"2,728,667 in Books (",$5.04,0002261944
"['Books', 'Mystery, Thriller & Suspense', 'Mystery']","[""Sister Anne has been thrown down the cellar stairs, and Inspector Sloan wonders who in God's name would want to murder a cloistered nun? Sloan's task is complicated by the unusual witnesses - 50-plus discreet, identically dressed nuns, each of whom has an assumed name and a past secular life.""]",Religious Body,Visit Amazon's Catherine Aird Page,"4,061,041 in Books (",$8.93,0002317184
"['Books', 'Mystery, Thriller & Suspense', 'Mystery']",[],Taken at the Flood (Agatha Christie Collection),Visit Amazon's Agatha Christie Page,"9,850,217 in Books (",$136.07,0002318652
"['Books', 'Literature & Fiction', 'Genre Fiction']",[],State of Siege (Tom Clancy's Op-centre),Visit Amazon's Tom Clancy Page,"4,849,013 in Books (",$20.18,0002258870
"['Books', 'Literature & Fiction', 'Action & Adventure']",[],Last Frontier,Visit Amazon's Alistair MacLean Page,"6,122,768 in Books (",$13.24,0002434547
"['Books', 'Literature & Fiction', 'Genre Fiction']","[""Bernard Cornwell worked for BBC TV for seven years, mostly as producer on the Nationwide programme, before taking charge of the current Affairs department in Northern Ireland. In 1978 he became editor of Thames Television's Thames at Six. Married to an American, he now lives in the United States.""]","Vagabond (The Grail Quest, Book 2)",Visit Amazon's Bernard Cornwell Page,"5,170,923 in Books (",$60.00,0002259664
"['Books', 'Literature & Fiction', 'Action & Adventure']",[],The Dark Crusader,Visit Amazon's Alistair MacLean Page,"6,845,718 in Books (",$973.56,0002431548
"['Books', 'Literature & Fiction', 'Contemporary']",[],The Torn Skirt,Visit Amazon's Rebecca Godfrey Page,"8,662,795 in Books (",$45.00,0002255197
"['Books', 'Mystery, Thriller & Suspense', 'Mystery']","[""A wheelchair-bound Poirot returns to Styles, the venue of his first investigation, where he knows another murder is going to take place...Agatha Troy, world famous portrait painter, is inveigled into accepting a commission to paint the 70-year-old Sir Henry Ancred, Bart., the Grand Old Man of the stage. But just as she has completed her portrait, the old actor dies. The dramatic circumstances of his death are such that Scotland Yard is called in -- in the person of Troy's long-absent husband, Chief Detective-Inspector Roderick Alleyn!""]",Curtain: Poirot's last case,Visit Amazon's Agatha Christie Page,"3,810,424 in Books (",$13.41,0002316196
"['Books', 'Mystery, Thriller & Suspense']",[],Asking for the Moon,Visit Amazon's Reginald Hill Page,"7,844,412 in Books (",$25.63,0002325128
"['Books', 'Literature & Fiction', 'Genre Fiction']",['Slight signs of wear!'],EXECUTIVE ORDERS,TOM CLANCY,"10,896,239 in Books (",$48.00,0002256649
"['Books', 'Biographies & Memoirs', 'Leaders & Notable People']",[],The Downing Street Years,Visit Amazon's Margaret Thatcher Page,"3,253,323 in Books (",$12.89,0002550490
"['Books', 'Mystery, Thriller & Suspense', 'Mystery']",[],Colour Scheme,Visit Amazon's Ngaio Marsh Page,"4,645,741 in Books (",$24.99,0002322145
"['Books', 'Mystery, Thriller & Suspense', 'Mystery']","[""This sadistic, twisted yet intriguingly ingenious thriller garnered Val McDermid Britain's top crime-fiction award, the Gold Dagger, which only proves it's not as genteel a nation as we've been led to believe. <i>The Mermaids Singing</i> follows a killer who thrives on finding ever more inventive ways to seduce and torture sexually confused young men and records their death struggles digitally to market them as interactive home movies.\n\t\t\t\t\t\t    \t\n\t\t\t\t\t\t        \t--This text refers to an out of print or unavailable edition of this title."", 'McDermid (A Clean Break) enters new ground with a dark tale that is more complex, more carefully crafted and far more disturbing than her Kate Brannigan mysteries. By the time the police admit that Bradfield, a fictional city in northern England, has a serial killer, four men are already dead, each tortured in a different way and then abandoned outdoors in town. Baffled by a lack of physical evidence left by the meticulous sociopath, police bring in Tony Hill, a Home Office forensic psychologist who profiles criminals. Tony, who begins each day by ""selecting a persona,"" devours crime data with a fascination approaching admiration for the killer. The interest distracts him from obsessing over his own sexual impotence and over the ""exquisite torture"" of salacious phone calls he\'s been getting from a strange woman. DI Carol Jordan, a mercifully normal person who is Tony\'s liaison with the force, quickly grasps the profiling approach while keeping her policing instincts. Carol and Tony forge an uneasy relationship; but, as they pursue ""the Queer Killer,"" a cloddish policeman undermines them, a local reporter blows the case to get a byline and the murderer closes in on a new quarry. A warning: woven into this powerful story are journal entries in which the murder discusses torture in loving detail, an aspect that makes this graphic, psychologically terrifying tale almost as off-putting as it is impossible to put down. (Dec.) FYI: This novel won Britain\'s Gold Dagger Award for best crime novel of 1995.<BR>Copyright 1996 Reed Business Information, Inc.\n\t\t\t\t\t\t    \t\n\t\t\t\t\t\t        \t--This text refers to an out of print or unavailable edition of this title.']",The Mermaids Singing,Visit Amazon's Val McDermid Page,"5,298,876 in Books (",$49.70,0002325454
"['Books', 'History', 'Ancient Civilizations']",[],Caesar,CHRISTIAN MEIER,"4,417,393 in Books (",$2.87,0002551632
"['Books', 'Mystery, Thriller & Suspense', 'Mystery']",[],The Mirror Crack'd from Side to Side (The Crime Club),Visit Amazon's Agatha Christie Page,"10,294,133 in Books (",$24.86,0002314843
[],[],The Americans,Robert Frank with Introduction By Jack Kerouac,"2,210,256 in Books (",$9.94,0002552086
"['Books', 'Literature & Fiction', 'British & Irish']","[""Volume 77 in The Agatha Christie Collection (1976). Limited edition of 1000 copies worldwide. Soon after Gwenda moved into her new home, odd things started to happen. Despite her best efforts to modernise the house, she only succeeded in dredging up its past. Worse, she felt an irrational sense of terror every time she climbed the stairs...In fear, Gwenda turned to Miss Marple to exorcise her ghosts. Between them, they were to solve a 'perfect' crime committed many years before.""]",Sleeping murder: Miss Marple's last case,Visit Amazon's Agatha Christie Page,"2,066,753 in Books (",$22.01,0002317850
"['Books', 'Literature & Fiction', 'Genre Fiction']",[],H. M. S. Ulysses,Visit Amazon's Alistair MacLean Page,"10,774,562 in Books (",$12.68,0002433036
"['Books', 'Reference', 'Words, Language & Grammar']","['Designed to guide the reader through the use of Latin, this book includes everyday English expressions rendered into grammatically accurate, idiomatically correct, classical Latin, with an easy-to-use pronunciation guide included. The phrases are organized into conversational categories.']",Latin for All Occasions,H Beard,"5,818,780 in Books (",$36.65,000255383X
"['Books', 'Literature & Fiction', 'Short Stories & Anthologies']","[""'A storyteller in the class of Alexandre Dumas' Washington Post 'Archer has a gift for plot that can only be described as genius' Daily Telegraph 'The man's a genius' Fay Weldon, Evening Standard 'Few are more famous than Archer for keeping the pages turning' Peter Stothard, The Times"", ""Jeffrey Archer is Britain's top-selling novelist. He is a former member of Parliament and Deputy Chairman of the Conservative Party. He was created a Life Peer in the Queen's Birthday Honours of 1992. He lives in London and Cambridge.""]",To Cut a Long Story Short,Visit Amazon's Jeffrey Archer Page,"3,433,879 in Books (",$8.54,0002261499
"['Books', 'Literature & Fiction', 'United States']","[""Volume 78 in The Agatha Christie Classic Collection (1979). Limited edition of 1000 copies worldwide First, the mystery man in the church with a bullet-wound...then, the riddle of a dead man's buried treasure...the curious conduct oif a caretaker after a fatal riding accident...the corpse and a tape-measure...the girl framed for theft...and the suspect accused of stabbing his wife with a dagger. Six gripping cases with one thing in common -- the astonishing deductive powers of Miss Marple. Also includes two non-Marple mysteries, 'The Dressmaker's Doll' and 'In a Glass Darkly'.""]",Miss Marple's Final Cases,Visit Amazon's Agatha Christie Page,"3,654,070 in Books (",$5.25,0002315963
"['Books', 'Cookbooks, Food & Wine', 'Regional & International']","['Each title in this award-winning series offers an exquisite region-by-region taste tour filled with culinary specialties and surprises. Included in each large-format volume are gorgeous food and landscape photographs.', '', 'Jacki Passmore is the author of several successful books on Asian cooking. She lived for over a decade in Hong Kong, where--her journalistic work for a Hong Kong newspaper and international magazines led to a career as, a food consultant, teacher and writer. Her extensive travels in Asia have not only increased her knowledge of the different culinary traditions, but also expanded her understanding of the history and cultures which molded them.']",Asia: The Beautiful Cookbook,Jackie Passmore,"920,427 in Books (",$48.16,0002551152
"['Books', 'Biographies & Memoirs', 'True Crime']","[""This is the explosive true story of the only man ever to infiltrate the Hells Angels organization as an FBI informant, uncovering the truth about the notorious biker gang's netherworld of evil, lust, and violence.<LI>A chilling crime story that strips away the Hell's Angels's image to reveal a powerful and deadly organized crime syndicate.<LI>The author's acceptance into the highest ranks of the gang led to an unprecedented FBI sting operation and 42 arrests.</LI>""]",Hells Angels: Into the abyss,Visit Amazon's Yves Lavigne Page,"3,307,399 in Books (",,0002552868
"['Books', 'Mystery, Thriller & Suspense', 'Mystery']","['Christie, Agatha, Postern of Fate']",Postern of Fate,Visit Amazon's Agatha Christie Page,"3,659,328 in Books (",$17.75,0002311909
"['Books', 'Literature & Fiction', 'Contemporary']",[],The Four Graces,Visit Amazon's D.E. Stevenson Page,"6,910,561 in Books (",$63.91,000243248X
"['Books', 'Cookbooks, Food & Wine', 'Regional & International']","[""This wonderful series is the easiest way to sample some of the world's finest cuisines from the comfort of your own kitchen. Small in size, yet large in recipe selection, each volume offers a delicious range of dishes--from the simple to the imaginative."", '', ""Brooke Dojny has coauthored several cookbooks, including <em>Sunday Suppers</em> and<em> Let's Eat In, The Best of Chocolate, Parties! </em>and<em> Cheap Eats.</em> She was a contributing editor at <em>Cook's</em> magazine.""]",The Best of New Orleans (Best of ... S),Visit Amazon's Brooke Dojny Page,"352,424 in Books (",$14.79,0002554771
"['Books', 'Biographies & Memoirs', 'Leaders & Notable People']",[],The Path to Power,Visit Amazon's Margaret Thatcher Page,"5,724,181 in Books (",$6.36,0002558068
"['Books', 'Biographies & Memoirs', 'Memoirs']","[""In this surprising new life of Victoria, Christopher Hibbert, master of the telling anecdote and peerless biographer of England's great leaders, paints a fresh and intimate portrait of the woman who shaped a century. His Victoria is not only the formidable, demanding, capricious queen of popular imaginationshe is also often shy, diffident, and vulnerable, prone to giggling fits and crying jags. Often censorious when confronted with her mother's moral lapses, she herself could be passionately sensual, emotional, and deeply sentimental. Ascending to the throne at age eighteen, Victoria ruled for sixty-four yearsan astounding length for any world leader. During her reign, she dealt with conflicts ranging from royal quarrels to war in Crimea and rebellion in India. She saw monarchs fall, empires crumble, new continents explored, and England grow into a dominant global and industrial power. This personal history is a compelling look at the complex woman whom, until now, we only thought we knew.""]",QUEEN VICTORIA: A PERSONAL HISTORY,Visit Amazon's Christopher Hibbert Page,"1,177,575 in Books (",,0002558262
"['Books', 'Travel']","['Adam Nicolson\'s father had answered a newspaper advertisement in the 1930s: ""Uninhabited islands for sale. Outer Hebrides. 600 acres. 500 ft basaltic cliffs. Puffins and seals. Cabin. Apply Col. Kenneth Macdonald, Portree, Skye."" These were the Shiants, three of the loneliest of the British Isles, set in a dangerous sea, with no more than a stone-built, rat-ridden bothy as accommodation, five miles or so off the coast of Lewis. They cost #1400 and for that he bought one of the most beautiful places on the planet. Adam Nicolson inherited the islands when he was 21 - an astonishing gift - and they became in many ways the core of his life. In this book, he tells the full story of his own experiences there, amid the dazzling concentration of birds, with flocks of guillemots, razorbills, great skuas and 240,000 puffins coming in every spring out of the North Atlantic to breed; the violence and danger of the surrounding seas; the songs and poems which cluster around the islands; the accounts of attempted murder, witchcraft and catastrophe; the treasured place which the Shiants still hold in the Hebridean mind. ""Sea Room"" describes the Shiants as a microcosm of richness, their long and at times painful history combined with a natural world at its most potent: Bronze Age gold and the memory of sea eagles, an 8th-century hermit and his carved pillow stone, 18th-century memories soaked into the landscape and stories passed down from generation to generation. This is not the account of a castaway on a deserted rock but its opposite: a celebration of the life which an extraordinary island enshrines.']",Sea Room,Visit Amazon's Adam Nicolson Page,"4,317,079 in Books (",$2.87,0002571641
"['Books', 'Religion & Spirituality', 'Occult & Paranormal']",[],The Queen's Conjuror: the science and magic of Doctor Dee,Visit Amazon's Benjamin Woolley Page,"588,248 in Books (",,0002571390
"['Books', 'Literature & Fiction', 'Genre Fiction']","['Sisterly rivalry is the basis of this fresh, wonderfully vivid retelling of the story of Anne Boleyn. Anne, her sister Mary and their brother George are all brought to the king\'s court at a young age, as players in their uncle\'s plans to advance the family\'s fortunes. Mary, the sweet, blond sister, wins King Henry VIII\'s favor when she is barely 14 and already married to one of his courtiers. Their affair lasts several years, and she gives Henry a daughter and a son. But her dark, clever, scheming sister, Anne, insinuates herself into Henry\'s graces, styling herself as his adviser and confidant. Soon she displaces Mary as his lover and begins her machinations to rid him of his wife, Katherine of Aragon. This is only the beginning of the intrigue that Gregory so handily chronicles, capturing beautifully the mingled hate and nearly incestuous love Anne, Mary and George (""kin and enemies all at once"") feel for each other and the toll their family\'s ambition takes on them. Mary, the story\'s narrator, is the most sympathetic of the siblings, but even she is twisted by the demands of power and status; charming George, an able plotter, finally brings disaster on his own head by falling in love with a male courtier. Anne, most tormented of all, is ruthless in her drive to become queen, and then to give Henry a male heir. Rather than settling for a picturesque rendering of court life, Gregory conveys its claustrophobic, all-consuming nature with consummate skill. In the end, Anne\'s famous, tragic end is offset by Mary\'s happier fate, but the self-defeating folly of the quest for power lingers longest in the reader\'s mind.<BR>Copyright 2002 Cahners Business Information, Inc.\n\t\t\t\t\t\t    \t\n\t\t\t\t\t\t        \t--This text refers to an out of print or unavailable edition of this title.', 'Before Henry VIII ever considered making Anne Boleyn his wife, her older sister, Mary, was his mistress. Historical novelist Gregory (Virgin Earth) uses the perspective of this ""other Boleyn girl"" to reveal the rivalries and intrigues swirling through England. The sisters and their brother George were raised with one goal: to advance the Howard family\'s interests, especially against the Seymours. So when Mary catches the king\'s fancy, her family orders her to abandon the husband they had chosen. She bears Henry two children, including a son, but Anne\'s desire to be queen drives her with ruthless intensity, alienating family and foes. As Henry grows more desperate for a legitimate son and Anne strives to replace Catherine as queen, the social fabric weakens. Mary abandons court life to live with a new husband and her children in the countryside, but love and duty bring her back to Anne time and again. We share Mary\'s helplessness as Anne loses favor, and everyone abandons her amid accusations of adultery, incest, and witchcraft. Even the Boleyn parents won\'t intervene for their children. Gregory captures not only the dalliances of court but the panorama of political and religious clashes throughout Europe. She controls a complicated narrative and dozens of characters without faltering, in a novel sure to please public library fans of historical fiction. Kathy Piehl, Minnesota State Univ., Mankato <BR>Copyright 2002 Cahners Business Information, Inc.\n\t\t\t\t\t\t    \t\n\t\t\t\t\t\t        \t--This text refers to an out of print or unavailable edition of this title.']",The Other Boleyn Girl,Philippa GREGORY,"5,369,513 in Books (",$94.41,0002259842
"['Books', 'Science & Math', 'Earth Sciences']","[""Praise for Richard Fortey's work:'This is not a book for people who like science books. It is a book for people who love books, and life... [Fortey] has written a wonderful book.' Tim Radford, Guardian'Read this book because it is, indeed, the best natural history of the first four billion years of life on earth.' John Gribbin, Sunday Times'Fortey writes beautifully and this is a wonderful biography of rock and life... He has restored palaeontology to its rightful place in the pantheon.' Lewis Wolpert, Observer'Richard Fortey is a scientist... but his big, rich history of four billion years of evolution is written with an artist's zest for life and language... Anyone who wants to understand how we came to be here on earth, 4,000,000,000 years after life began, should read this sparkling book.' Maggie Gee, Daily Telegraph"", 'Richard Fortey is a senior paleontologist at the Natural History Museum in London. His previous books include the critically acclaimed LIFE: AN UNAUTHORISED BIOGRAPHY, TRILOBITE! and the prize-winning THE HIDDEN LANDSCAPE. He lives in London.']",Earth: An Intimate History,Richard A. Fortey,"16,163,209 in Books (",$87.05,0002570114
[],"['Text: English, Russian (translation)', '', '']",Life and fate: A novel,Vasilii Semenovich Grossman,"2,005,007 in Books (",$34.80,0002614545
"['Books', 'Biographies &amp; Memoirs', 'Leaders &amp; Notable People']","['""A Brilliantly entertaining read, with all the narrative power, gift for dialogue and surprising twists and turns that would be expected of flashman\'s creator...Fraser is unrivalled at the storyteller\'s essential crafts..."" - Gary Mead, Financial Times', '""This is a book as good as anything Fraser has written...decorated with the beautifully-observed dialogue of which he is a master...A moving and penetrating contribution to the literature of the Burma campaign"" - Max Hastings, Daily Telegraph', '""His new book deserves to reach out to an even larger audience...The sense of front-line danger is palpable and the smell of action is remarkable. His descriptions of the sudden violent actions are breathtaking. This is battle as it is done"" - Melvyn Bragg, Evening Standard', '""Fraser\'s is quite the most vividly realistic account of the sharp end of the war in Burma that i have read...If you have enjoyed Fraser\'s \'Flashman\' books you will enjoy the racy, pacy, utterly authentic account of far away long ago soldiering"" - John Mellors, London Magazine', '""A great writer has raised a memorial to a lost generation"" - John Colvin', 'George MacDonald Fraser served in a Highland regiment in India and the Middle East, and worked on newspapers in Britain and Canada. He is the author of numerous novels, including Flashman and the series, The Flashman Papers, and films, most notably The Three Musketeers, The Four Musketeers, and the James Bond film, Octopussy.', '', '']",Quartered Safe Out Here: A Recollection of the War in Burma,Visit Amazon's George MacDonald Fraser Page,"3,085,994 in Books (",$4.95,0002726874
[],"['Book by Alexander Dolgun', '', '']",Alexander Dolgun's Story: An American in the Gulag,Visit Amazon's Alexander Dolgun Page,"6,197,217 in Books (",$8.97,0002621509
"['Books', 'History', 'Europe']","['Continuing and concluding ""The Russian Revolution"", and completing the trilogy begun with ""Russia under the Old Regime"", this book however, stand on its own. It deals with the attempts of the Bolsheviks to defend and expand their authority from the Great Russian base which they had conquered in the winter of 1917-18 to the borderlands of the defunct Russian Empire and beyond, to the rest of the world. By the autumn of 1920 it became apparent that these efforts would not succeed, and that the new regime had to concentrate on building a communist state at home. The closing part of the book deal with the crises this unexpected development caused Russia\'s new rulers. In addition, the author discusses Communist cultural and religious policies. By treating these and other topics usually ignored by historians, the author seeks to fulfill the promise given in the introduction to ""The Russian Revolution"" to look beyond the struggle for power which is commonly seen as the quintessence of the Revolution, to its makers\' designs and to their uses of that power. The book concludes with the death of Lenin in January 1924, by which time all the institutions and nearly all the practices of the future Stalinism were in place.', '', '']",Russia Under the Bolshevik Regime,Visit Amazon's Richard Pipes Page,"7,722,965 in Books (",$8.85,0002720884
"['Books', 'Education &amp; Teaching', 'Schools &amp; Teaching']","['', '']",Elidor (Collins Cascades),Visit Amazon's Alan Garner Page,"6,952,175 in Books (",$8.85,0003300870
"['Books', 'Reference', 'Dictionaries &amp; Thesauruses']",[],Collins COBUILD English Language Dictionary (Collins Cobuild),John Sinclair,"2,122,002 in Books (",,0003700232
"['Books', 'Biographies &amp; Memoirs', 'Specific Groups']",[],My Left Foot (Cascades),Visit Amazon's Christy Brown Page,"2,601,121 in Books (",$21.17,0003303209
"['Books', 'History', 'Europe']","['""A remarkably successful book on a fascinating subject, well organized and well written.""--<i>Time\'s Literary Supplement</i>', '', '']",The Steel Bonnets: The Story of the Anglo-Scottish Border Reivers,Visit Amazon's George MacDonald Fraser Page,"1,280,549 in Books (",$22.21,0002727463
"['Books', 'Mystery, Thriller &amp; Suspense', 'Thrillers &amp; Suspense']","[""Jan Needle is a well known children's writer. His novels include The Bully, My Mate Shofiq, Albeson and The Germans and A Game of Soldiers. Other plays by him include The Thief, A Game of Soldiers and The Rebels of Gas Street."", '', '']",Dracula (Collins Drama),Jan Needle,"8,860,820 in Books (",,0003302245
"['Books', 'Arts &amp; Photography', 'Music']","[""This fascinating autobiography of the country music legend recounts the highs and lows, the struggles and hard-won triumphs of his remarkable life. The story takes us from Johnny Cash's childhood on an Arkansas cotton farm to his early years at Sun Records. We read of his life on the road and meetings with, and performances for, world leaders. There is also the darker side of his life: the years of addiction to amphetamines and pain killers, a suicide attempt and the spiritual awakening that pulled him through. He looks unsparingly at his turbulent past, but remains a man of honesty, humility and humour. His memoir reveals his friendships with Roy Orbison, Willie Nelson, Bob Dylan and Billy Graham."", '', '']",Cash : The Autobiography,Visit Amazon's Johnny Cash Page,"5,840,213 in Books (",$9.57,000274080X
"['Books', 'Literature &amp; Fiction', 'British &amp; Irish']",[],Lord Jim (New School Classics),Joseph Conrad,"19,057,570 in Books (",,0003395693
"['Books', 'Literature &amp; Fiction', 'Action &amp; Adventure']","['', '']",The Pyrates,Visit Amazon's George MacDonald Fraser Page,"9,866,331 in Books (",,0002714019
"['Books', 'Literature &amp; Fiction', 'Poetry']",[],Rubaiyat (Greetings Books),Omar Khayam,"12,879,537 in Books (",$6.99,0004103033
"['Books', 'Science &amp; Math', 'Biological Sciences']","['', '']",My Family and Other Animals (Cascades),Visit Amazon's Gerald Durrell Page,"5,193,388 in Books (",$21.00,0003303187
"['Books', 'History', 'Europe']","['Alistair Moffat was responsible for turning a rough, ragbag and forgettable part of the Edinburgh Festival into the Fringe we know today. It was he who brought the comics - starting with Rowan Atkinson - and the world-wide fame and notoriety which followed. Then he went into TV and ended up Managing Director of Scottish Television, a job he left recently to concentrate on individual writing and television projects. His first book, published by Weidenfeld, Arthur and the Lost Kingdoms, sold over 17,000 copies. This is his second. He is an expert in Scottish Gaelic and history.', '', '']",The Sea Kingdoms: The History of Celtic Britain and Ireland,Visit Amazon's Alistair Moffat Page,"3,204,183 in Books (",$34.88,0002572168
"['Books', 'Literature &amp; Fiction', 'Dramas &amp; Plays']","['', '']",Complete Works of William Shakespeare: The Alexander Text (Collins Classics),Visit Amazon's William Shakespeare Page,"4,535,449 in Books (",,0004704746
"['Books', 'Literature &amp; Fiction', 'Genre Fiction']",[],Little Women,Louisa May Alcott,"15,607,529 in Books (",$11.89,0004244079
"['Books', 'Reference', 'Dictionaries & Thesauruses']",['book'],Rogets International Thesaurus - Third Edition,Rogets International,"1,367,379 in Books (",,0004340515
"['Books', 'Literature & Fiction', 'History & Criticism']","[""Collins is perhaps the single best edition of Wilde's complete works. Along with the author's full canon of plays, poems, essays, and novels, this also contains numerous appendixes of biographical information and chronologies of Wilde's work as well as examples of his famous one-liners divided into categories. This Centenary Edition was edited by his grandson Merlin, who made revisions to the text. (See also son Vyvyan Holland's autobiography, above.) <BR>Copyright 1999 Reed Business Information, Inc.""]",Collins Complete Works of Oscar Wilde,Visit Amazon's Oscar Wilde Page,"560,245 in Books (",,0004723724
[],['1992 CEMA RECORDS AUDIO CASSETTE'],The Christmas Song-Nat King Cole,,"20,472,904 in Books (",$5.95,0005101794
"['Books', 'Science & Math', 'Mathematics']","[""Stewart's CALCULUS: EARLY TRANSCENDENTALS, FIFTH EDITION has the mathematical precision, accuracy, clarity of exposition and outstanding examples and problem sets that have characterized the first four editions. Stewart retains the focus on problem solving and the pedagogical system that has made the book a favorite of students and instructors in a wide variety of colleges and universities throughout the world.""]","Calculus, Early Transcendentals Textbook Only",Visit Amazon's James Stewart Page,"4,365,845 in Books (",$399.80,0005245826
[],"['This revision of the market-leading book maintains its classic strengths: contemporary approach, flexible chapter construction, clear exposition, and outstanding problems. Like its predecessors, this revision is written from the viewpoint of the applied mathematician, focusing both on the theory and the practical applications of Differential Equations as they apply to engineering and the sciences.']",Elementary Differential Equations and Boundary Value Problems,William E Boyce,"2,917,813 in Books (",$46.64,0005986303
"['Books', 'Literature &amp; Fiction', 'Genre Fiction']",[],Warleggan,Visit Amazon's Winston Graham Page,"8,563,617 in Books (",$9.73,000611718X
"['Books', 'Literature & Fiction', 'Genre Fiction']",[],Queen's Confession,Visit Amazon's Victoria Holt Page,"8,883,064 in Books (",$10.98,0006123252
"['Books', 'Christian Books &amp; Bibles', 'Bibles']",[],The Holy Bible from the ancient Eastern text : George M. Lamsa's translations from the Aramaic of the Peshitta,,"17,680,361 in Books (",,0006064922
"['Books', 'Literature &amp; Fiction', 'British &amp; Irish']","['Classic Agatha Christie', '', '']",Crooked House,Christie Agatha,"3,829,292 in Books (",$22.57,0006137989
"['Books', 'Literature &amp; Fiction', 'Genre Fiction']","['paperback, vg+', '', '']",Ross Poldark :POLDARK,Visit Amazon's Winston Graham Page,"6,131,167 in Books (",$19.75,0006140823
"['Books', 'Mystery, Thriller &amp; Suspense', 'Mystery']",[],Death Comes as the End,Visit Amazon's Agatha Christie Page,"2,730,221 in Books (",$78.78,000613887X
"['Books', 'Mystery, Thriller &amp; Suspense', 'Mystery']",[],A Man Lay Dead,Visit Amazon's Ngaio Marsh Page,"18,726,569 in Books (",$179.52,0006142117
